id,Event URL,Beedier Event ID
209,https://www.eventbrite.co.uk/e/uk-property-networking-the-alma-tickets-1284141053459?aff=ebdssbdestsearch,13223
210,https://www.eventbrite.co.uk/e/new-architects-club-2025-2026-tickets-1311758136899?aff=ebdssbdestsearch,13207
211,https://www.eventbrite.co.uk/e/kent-constructing-excellence-july-2025-event-tickets-1116595409929?aff=ebdssbdestsearch,13224
212,https://www.eventbrite.com/e/savoys-education-day-which-strategy-in-property-should-you-pick-tickets-1353553267259?aff=ebdssbdestsearch,13217
214,https://www.eventbrite.co.uk/e/chester-careers-fair-tickets-896103739407?aff=ebdssbdestsearch,13222
215,https://www.eventbrite.co.uk/e/london-built-environment-june-mayfair-property-sector-networking-tickets-1276078026729?aff=ebdssbdestsearch,13225
216,https://www.eventbrite.com/e/she-owns-it-property-launch-tickets-1309739017659?aff=ebdssbdestsearch,13216
217,https://www.eventbrite.co.uk/e/site-tour-of-schwarzman-centre-for-the-humanities-registration-1329552951669?aff=ebdssbdestsearch,13215
218,https://www.eventbrite.co.uk/e/search-property-networking-connecting-property-investors-across-cornwall-tickets-1249266231929?aff=ebdssbdestsearch,13231
219,https://www.eventbrite.co.uk/e/business-networking-meeting-in-wetherby-bni-golden-triangle-tickets-696804118877?aff=ebdssbdestsearch,13219
220,https://www.eventbrite.co.uk/e/interior-design-networking-event-at-hilton-hotel-tickets-1358523282709?aff=ebdssbdestsearch,13247
221,https://www.eventbrite.com/e/an-evening-of-intentions-with-susanna-kenyon-muir-tickets-1348057709899?aff=ebdssbdestsearch,13232
222,https://www.eventbrite.co.uk/e/bima-house-the-green-interface-digital-design-with-sustainability-in-mind-tickets-1286293140409?aff=ebdssbdestsearch,13240
223,https://www.eventbrite.co.uk/e/property-entrepreneurs-startups-investors-professionals-networking-event-tickets-1322722942929?aff=ebdssbdestsearch,13229
224,https://www.eventbrite.co.uk/e/nerdworking-tickets-894216043257?aff=ebdssbdestsearch,13243
225,https://www.eventbrite.com/e/belgium-house-innovation-takes-over-shoreditch-arts-club-tickets-1273781497749?aff=ebdssbdestsearch,13233
226,https://www.eventbrite.co.uk/e/behind-the-scenes-at-saltdean-lido-member-only-tickets-1360414419149?aff=ebdssbdestsearch,13234
227,https://www.eventbrite.co.uk/e/oxpropawards-2025-tickets-1142646830429?aff=ebdssbdestsearch,13236
228,https://www.eventbrite.co.uk/e/dorridge-design-day-2025-tickets-1368531587819?aff=ebdssbdestsearch,13226
229,https://www.eventbrite.co.uk/e/acan-x-saw-organising-for-power-tickets-1325151306229?aff=ebdssbdestsearch,13248
230,https://www.eventbrite.co.uk/e/unseen-unspoken-unfair-challenging-workplace-discrimination-tickets-1296685875359?aff=ebdssbdestsearch,13241
231,https://www.eventbrite.com/e/best-wealth-unlocked-live-two-day-wealth-master-class-tickets-1324943183729?aff=ebdssbdestsearch,13228
232,https://www.eventbrite.co.uk/e/property-connect-essex-networking-event-tickets-1224487488039?aff=ebdssbdestsearch,13230
233,https://www.eventbrite.co.uk/e/global-gateways-italian-residency-investment-expo-london-tickets-1343993985189?aff=ebdssbdestsearch,13211
235,https://www.eventbrite.co.uk/e/sprite-nite-25-speed-portfolio-rehearsal-interview-taster-evening-tickets-1374247123139?aff=ebdssbdestsearch,13250
236,https://www.eventbrite.com/e/property-poppadoms-newcastle-upon-tyne-tickets-868533054747?aff=ebdssbdestsearch,13235
237,https://www.eventbrite.com/e/sybarite-student-open-evening-tickets-1374670659949?aff=ebdssbdestsearch,13237
238,https://www.eventbrite.co.uk/e/berks-prop-awards-2025-tickets-1326488184869?aff=ebdssbdestsearch,13238
239,https://www.eventbrite.co.uk/e/embracing-bim-solutions-for-small-and-medium-businesses-and-practitioners-tickets-1358437736839?aff=ebdssbdestsearch,13244
240,https://www.eventbrite.co.uk/e/small-steps-practical-inclusion-for-built-environment-leaders-tickets-1306884289089?aff=ebdssbdestsearch,13246
241,https://www.eventbrite.com/e/dubai-property-show-london-tickets-1279035572829?aff=ebdssbdestsearch,13242
242,https://www.eventbrite.co.uk/e/forensic-engineering-tickets-1338594174209?aff=ebdssbdestsearch,13251
243,https://www.eventbrite.com/e/spi-4-somerset-property-investors-tickets-1323470799789?aff=ebdssbdestsearch,13258
244,https://www.eventbrite.co.uk/e/july-quay-business-forum-25-summer-special-netwalking-tour-tickets-1356161247799?aff=ebdssbdestsearch,13254
245,https://www.eventbrite.com/e/gm100-jcdecaux-tour-and-presentation-tickets-1312861035699?aff=ebdssbdestsearch,13245
246,https://www.eventbrite.co.uk/e/agency-folk-mastermind-lunch-sept-tickets-1120728883259?aff=ebdssbdestsearch,13239
247,https://www.eventbrite.co.uk/e/punching-and-welding-painting-and-cnc-cutting-above-your-weight-tickets-1370368863159?aff=ebdssbdestsearch,13253
248,https://www.eventbrite.co.uk/e/ip-considerations-for-ai-generated-designs-tickets-1349667003339?aff=ebdssbdestsearch,13255
250,https://www.eventbrite.com/e/quality-assets-site-visit-tickets-1372583888359?aff=ebdssbdestsearch,13252
251,https://www.eventbrite.co.uk/e/tanfields-summer-property-conference-tickets-1335087545789?aff=ebdssbdestsearch,13262
252,https://www.eventbrite.co.uk/e/follow-the-light-the-elusive-cognitive-global-reset-110-to-05-hertz-tickets-1217351082859?aff=ebdssbdestsearch,13259
253,https://www.eventbrite.com/e/free-information-sessions-on-wills-lasting-powers-of-attorney-and-trusts-tickets-1237174455099?aff=ebdssbdestsearch,13265
254,https://www.eventbrite.com/e/glass-walls-can-trust-be-designed-into-systems-and-spaces-tickets-1377345540589?aff=ebdssbdestsearch,13268
255,https://www.eventbrite.co.uk/e/property-deal-network-newcastle-pdn-property-investor-networking-event-tickets-1231713902439?aff=ebdssbdestsearch,13276
256,https://www.eventbrite.co.uk/e/talking-tax-in-the-construction-industry-tickets-1375906857449?aff=ebdssbdestsearch,13257
257,https://www.eventbrite.co.uk/e/the-business-builders-brunch-networking-for-startups-small-businesses-tickets-1368689660619?aff=ebdssbdestsearch,13275
258,https://www.eventbrite.co.uk/e/small-business-networking-at-stansted-house-tickets-1102058479579?aff=ebdssbdestsearch,13221
